"Windenergie op land; productie en capaciteit per provincie"
""
""
"Onderwerp";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Windmolens|Opgestelde windmolens einde van jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektrisch vermogen|Opgesteld vermogen einde jaar";"Elektriciteitsproductie|Niet-genormaliseerde productie";"Elektriciteitsproductie|Niet-genormaliseerde productie";"Elektriciteitsproductie|Niet-genormaliseerde productie";"Elektriciteitsproductie|Productiefactor";"Elektriciteitsproductie|Productiefactor";"Elektriciteitsproductie|Productiefactor"
"Perioden";"2021";"2022";"2023**";"2021";"2022";"2023**";"2021";"2022";"2023**";"2021";"2022";"2023**"
"Regio's";"aantal";"aantal";"aantal";"megawatt";"megawatt";"megawatt";"mln kWh";"mln kWh";"mln kWh";"%";"%";"%"
"Nederland";"2308";"2446";"2557";"5186";"6131";"6757";"10058";"13440";"17814";"24,2";"27,3";"31,5"
"Groningen (PV)";"262";"284";"290";"731";"839";"868";"1563";"2043";"2315";"25,6";"29,1";"31,2"
"Fryslân (PV)";"368";"370";"370";"576";"619";"619";"946";"1679";"1915";"23,2";"32,3";"35,3"
"Drenthe (PV)";"61";"68";"75";"221";"246";"271";"207";"643";"786";"16,9";"32,9";"33,0"
"Overijssel (PV)";"29";"29";"32";"74";"74";"87";"135";"155";"188";"22,3";"23,7";"27,2"
"Flevoland (PV)";"613";"627";"689";"1285";"1584";"1992";"2285";"3043";"4570";"22,1";"24,0";"29,6"
"Gelderland (PV)";"61";"78";"81";"171";"234";"247";"361";"455";"624";"25,2";"23,7";"29,6"
"Utrecht (PV)";"16";"16";"16";"34";"34";"34";"73";"78";"94";"24,3";"26,3";"31,3"
"Noord-Holland (PV)";"316";"330";"329";"652";"700";"700";"1631";"1855";"2072";"28,6";"30,7";"33,8"
"Zuid-Holland (PV)";"185";"224";"226";"520";"767";"775";"1061";"1363";"2208";"24,0";"26,4";"32,8"
"Zeeland (PV)";"243";"248";"258";"549";"566";"611";"1174";"1295";"1656";"25,8";"26,2";"31,5"
"Noord-Brabant (PV)";"135";"144";"160";"301";"353";"428";"541";"616";"1055";"22,9";"23,1";"28,9"
"Limburg (PV)";"19";"28";"31";"72";"114";"125";"80";"215";"331";"21,6";"27,2";"30,5"
"Bron: CBS"
